Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Teaching Medicine and Medical Ethics Using Popular Culture,"Evie Kendal, Basia Diug",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,The Editor(s) (if applicable) and The Author(s),978-3-319-65450-8,978-3-319-65451-5,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,Palgrave Studies in Science and Popular Culture,,http://doi.org/10.1007/978-3-319-65451-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65451-5,Cultural and Media Studies; Popular Culture; Film and Television Studies; Medical Sociology; Medical Education,Springer International Publishing,Palgrave Macmillan
Empathetic Space on Screen,Amedeo D'Adamo,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-3-319-66771-3,978-3-319-66772-0,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,,,http://doi.org/10.1007/978-3-319-66772-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-66772-0,Popular Science; Popular Science in Cultural and Media Studies; Film Theory; American Cinema; Film Production; Screenwriting,Springer International Publishing,Palgrave Macmillan
"Of Cigarettes, High Heels, and Other Interesting Things",Marcel Danesi,3rd ed. 2018,Undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-1-349-95347-9,978-1-349-95348-6,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,,,http://doi.org/10.1057/978-1-349-95348-6,http://link.springer.com/openurl?genre=book&isbn=978-1-349-95348-6,Popular Science; Popular Science in Cultural and Media Studies; Media and Communication; Semiotics; Popular Culture; Cultural Anthropology; Sociolinguistics,Palgrave Macmillan US,Palgrave Macmillan
Witnessing Torture,"Alexandra S. Moore, Elizabeth Swanson",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-3-319-74964-8,978-3-319-74965-5,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,Palgrave Studies in Life Writing,,http://doi.org/10.1007/978-3-319-74965-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-74965-5,"Literature; Contemporary Literature; Postcolonial/World Literature; Human Rights and Crime; Social Justice, Equality and Human Rights; Human Rights; Terrorism and Political Violence",Springer International Publishing,Palgrave Macmillan
Research Methods for the Digital Humanities,"lewis levenberg, Tai Neilson, David Rheams",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-3-319-96712-7,978-3-319-96713-4,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,,,http://doi.org/10.1007/978-3-319-96713-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96713-4,Cultural and Media Studies; Digital/New Media; Digital Humanities; Research Methodology; Media Research; Culture and Technology,Springer International Publishing,Palgrave Macmillan
Managing Media and Digital Organizations,Eli M. Noam,1st ed. 2019,Graduate/advanced undergraduate textbook,2019,The Editor(s) (if applicable) and The Author(s),978-3-319-71287-1,978-3-319-71288-8,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,,,http://doi.org/10.1007/978-3-319-71288-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-71288-8,Cultural and Media Studies; Media and Communication; Media Management; Culture and Technology; Cultural Management; Management,Springer International Publishing,Palgrave Macmillan
Media and Digital Management,Eli M. Noam,1st ed. 2019,Graduate/advanced undergraduate textbook,2019,The Editor(s) (if applicable) and The Author(s),978-3-319-71344-1,978-3-319-72000-5,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,,,http://doi.org/10.1007/978-3-319-72000-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72000-5,Cultural and Media Studies; Media and Communication; Media Management; Business Information Systems,Springer International Publishing,Palgrave Macmillan
"An Anthology of London in Literature, 1558-1914","Geoffrey G. Hiller, Peter L. Groves, Alan F. Dilnot",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,The Editor(s) (if applicable) and The Author(s),978-3-030-05608-7,978-3-030-05609-4,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,,,http://doi.org/10.1007/978-3-030-05609-4,http://link.springer.com/openurl?genre=book&isbn=978-3-030-05609-4,Popular Science; Popular Science in Literature; British and Irish Literature; Early Modern/Renaissance Literature; Eighteenth-Century Literature; History of Britain and Ireland; Nineteenth-Century Literature,Springer International Publishing,Palgrave Macmillan
Mapping Global Theatre Histories,Mark Pizzato,1st ed. 2019,Graduate/advanced undergraduate textbook,2019,"The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG, part of Springer Nature",978-3-030-12726-8,978-3-030-12727-5,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,,,http://doi.org/10.1007/978-3-030-12727-5,http://link.springer.com/openurl?genre=book&isbn=978-3-030-12727-5,Cultural and Media Studies; Theatre History; Performing Arts; Global/International Theatre and Performance,Springer International Publishing,Palgrave Macmillan
